"Sort","Site","Date","time collected","time burnt","BurnSession","replicate","species_code","species_name","Taxonomic_status","Accepted_name","Accepted_family","growth_form","Vegtype","TimeToFlaming(s)","PostBurntMassEstimate(%)","MaximumFlameTemperature(°C)","blowtorch","FlammabilityIndex","FMC(%)","FMC_proportion","DataSource","Origin"
22,"Cederberg",2024-12-10,"PM","14:36","2PM - 5PM",1,"PASTRU","Passerina truncata","Accepted","Passerina truncata","Thymelaeaceae","Shrub","Fynbos",11,5,663.5,0,1.78911193325416,41.3476263399694,0.413476263399694,"PhD","Native"
23,"Cederberg",2024-12-10,"PM","14:44","2PM - 5PM",1,"RESSIE","Restio sieberi","Accepted","Restio sieberi","Restionaceae","Herb","Fynbos",120,80,326.6,1,1.24676471483816,40.5940594059406,0.405940594059406,"PhD","Native"
24,"Cederberg",2024-12-10,"PM","14:50","2PM - 5PM",1,"PROLAU","Protea laurifolia","Accepted","Protea laurifolia","Proteaceae","Shrub","Fynbos",58,5,749.5,0,1.50481105934655,47.3736372646184,0.473736372646184,"PhD","Native"
25,"Cederberg",2024-12-10,"AM","15:00","2PM - 5PM",2,"PASTRU","Passerina truncata","Accepted","Passerina truncata","Thymelaeaceae","Shrub","Fynbos",120,5,609.3,1,0.813113181693615,40.6576980568012,0.406576980568012,"PhD","Native"
26,"Cederberg",2024-12-10,"AM","15:06","2PM - 5PM",2,"RESSIE","Restio sieberi","Accepted","Restio sieberi","Restionaceae","Herb","Fynbos",120,55,285.5,1,0.933258731463719,46.8468468468469,0.468468468468469,"PhD","Native"
27,"Cederberg",2024-12-10,"AM","15:10","2PM - 5PM",2,"PROLAU","Protea laurifolia","Accepted","Protea laurifolia","Proteaceae","Shrub","Fynbos",10,5,742,0,1.8954477634664,45.1505016722408,0.451505016722408,"PhD","Native"
28,"Cederberg",2024-12-10,"PM","15:19","2PM - 5PM",2,"PASTRU","Passerina truncata","Accepted","Passerina truncata","Thymelaeaceae","Shrub","Fynbos",6,90,699.1,0,2.76668645899942,41.3978494623656,0.413978494623656,"PhD","Native"
29,"Cederberg",2024-12-10,"PM","15:27","2PM - 5PM",2,"RESSIE","Restio sieberi","Accepted","Restio sieberi","Restionaceae","Herb","Fynbos",120,55,262.9,1,0.905043999878201,39.8230088495575,0.398230088495575,"PhD","Native"
30,"Cederberg",2024-12-10,"PM","15:32","2PM - 5PM",2,"PROLAU","Protea laurifolia","Accepted","Protea laurifolia","Proteaceae","Shrub","Fynbos",8,55,638.3,0,2.3070415029993,48.4153742414026,0.484153742414026,"PhD","Native"
31,"Cederberg",2024-12-10,"AM","15:41","2PM - 5PM",3,"PASTRU","Passerina truncata","Accepted","Passerina truncata","Thymelaeaceae","Shrub","Fynbos",10,55,596,0,2.23756584756859,42.1412300683371,0.421412300683371,"PhD","Native"
