"unique_ID","scientific_name_original","genus_MG","family_MG","scientific_name_WFO","scientific_name_authorship","family_WFO","latitude","longitude","subregion","replicate","date","collector","sample","num_leaves","leaf_area_cm2","leaf_length_cm","avg_leaf_width_cm","max_leaf_width_cm","leaf_thickness_mm","leaf_fresh_wgt_g","leaf_dry_wgt_g","twig_fresh_g","twig_dry_g","lma","fwc","succulence","ldmc","lwr","twig_fwc"
"726_41_baviaanskloof","Pentameris eriostoma","Pentameris","Poaceae","Pentameris eriostoma","(Nees) Steud.","Poaceae",-33.55082,24.07446,"baviaanskloof","3",2011-07-26,"ASH",41,"2",12.96,39.2,0.2,0.3,0.508,0.994,0.537,0.905,0.471,0.041435185,0.851024209,0.035262346,0.540241449,196,0.921443737
"726_41_baviaanskloof","Pentameris eriostoma","Pentameris","Poaceae","Pentameris eriostoma","(Nees) Steud.","Poaceae",-33.55082,24.07446,"baviaanskloof","2",2011-07-26,"ASH",41,"2",13.36,30.6,0.2,0.4,0.497,0.864,0.428,NA,0.686,0.032035928,1.018691589,0.032634731,0.49537037,153,NA
"726_5_baviaanskloof","Othonna carnosa","Othonna","Asteraceae","Othonna carnosa","Less.","Asteraceae",-33.55142,24.04194,"baviaanskloof","3",2011-07-26,"ASH",5,"2",3.94,5.3,0.4,0.5,3.5,1.233,0.042,0.41,0.099,0.010659898,28.35714286,0.302284264,0.03406326,13.25,3.141414141
"726_5_baviaanskloof","Othonna carnosa","Othonna","Asteraceae","Othonna carnosa","Less.","Asteraceae",-33.55142,24.04194,"baviaanskloof","1",2011-07-26,"ASH",5,"1",3.39,6.7,0.5,0.6,3.3,1.187,0.029,0.723,0.119,0.008554572,39.93103448,0.34159292,0.02443134,13.4,5.075630252
"726_5_baviaanskloof","Othonna carnosa","Othonna","Asteraceae","Othonna carnosa","Less.","Asteraceae",-33.55142,24.04194,"baviaanskloof","2",2011-07-26,"ASH",5,"1",3.24,6.6,0.5,0.6,5.3,1.325,0.069,0.496,0.116,0.021296296,18.20289855,0.387654321,0.052075472,13.2,3.275862069
"726_6_baviaanskloof","Commelina africana","Commelina","Commelinaceae","Commelina africana","L.","Commelinaceae",-33.55142,24.04194,"baviaanskloof","2",2011-07-26,"ASH",6,"4",11.54,3.9,0.9,1.2,0.423,0.392,0.06,0.21,0.022,0.005199307,5.533333333,0.028769497,0.153061224,4.333333333,8.545454545
"726_6_baviaanskloof","Commelina africana","Commelina","Commelinaceae","Commelina africana","L.","Commelinaceae",-33.55142,24.04194,"baviaanskloof","1",2011-07-26,"ASH",6,"4",9.36,3.1,0.8,1.1,0.365,0.335,0.054,0.275,0.027,0.005769231,5.203703704,0.030021368,0.16119403,3.875,9.185185185
"726_6_baviaanskloof","Commelina africana","Commelina","Commelinaceae","Commelina africana","L.","Commelinaceae",-33.55142,24.04194,"baviaanskloof","3",2011-07-26,"ASH",6,"3",10.73,10.1,0.4,0.5,0.423,0.421,0.082,0.223,0.04,0.007642125,4.134146341,0.031593663,0.194774347,25.25,4.575
"726_7_baviaanskloof","Crassula ericoides","Crassula","Crassulaceae","Crassula ericoides","Haw.","Crassulaceae",-33.55142,24.04194,"baviaanskloof","1",2011-07-26,"ASH",7,"120",5.16,0.4,0.14,0.15,0.6,0.243,0.05,0.118,0.046,0.009689922,3.86,0.037403101,0.205761317,2.857142857,1.565217391
"726_7_baviaanskloof","Crassula ericoides","Crassula","Crassulaceae","Crassula ericoides","Haw.","Crassulaceae",-33.55142,24.04194,"baviaanskloof","2",2011-07-26,"ASH",7,"130",6.02,0.4,0.11,0.12,0.4,0.282,0.059,0.138,0.062,0.009800664,3.779661017,0.037043189,0.209219858,3.636363636,1.225806452
