"scientific_name_original","scientific_name_MG","family_MG","scientific_name_WFO","scientific_name_authorship","family_WFO","perennial","annual","lifecycle_POSA","monoecious","dioecious","evergreen","deciduous","seasonally_apparent","seasonally_identifiable","flower_postfire","resprout_postfire","serotinous","flower_begin","flower_end","flower_begin_alt","flower_end_alt","max_height_cm","herb","geophyte","graminoid","low_shrub","mid_shrub","tall_shrub","tree","scrambler","liana","hemiparasite","parasite","missing_growthform_class","succulent","leaf_succulent","stem_succulent","other_succulent","leaf_type","lvs_linear","lvs_intermediate","lvs_oval","lvs_compound","lvs_lobed","lvs_dissected","leaf_length","virtually_no_leaves","stems_photosynthetic","functional_leaf","plant_longevity","flammability","pollination","dispersal"
"Centella stenophylla","Centella stenophylla","Apiaceae","Centella stenophylla","Adamson","Apiaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Aug","Jan",NA,NA,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"l","i","p"
"Centella tridentata","Centella tridentata","Apiaceae","Centella tridentata","Drude","Apiaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Aug","Dec",NA,NA,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,1,0,1.733333333,0,0,"leaf",2,"l","i","p"
"Centella triloba","Centella triloba","Apiaceae","Centella triloba","Drude","Apiaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Aug","Apr",NA,NA,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,1,0,3.22,0,0,"leaf",2,"l","i","p"
"Centella villosa","Centella villosa","Apiaceae","Centella villosa","L.","Apiaceae",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Sep","Dec",NA,NA,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,1.32,0,0,"leaf",2,"l","i","p"
"Centella virgata","Centella virgata","Apiaceae","Centella virgata","(L.f.) Drude","Apiaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Sep","Dec",NA,NA,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,3.712727273,0,0,"leaf",2,"l","i","p"
"Cephalaria humilis","Cephalaria humilis","Dipsacaceae","Cephalaria humilis","(Thunb.) Roem. & Schult.","Caprifoliaceae",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Dec","Jan",NA,NA,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,1,NA,0,0,"leaf",2,"l","i","w"
"Ceratocaryum argenteum","Ceratocaryum argenteum","Restionaceae","Ceratocaryum argenteum","Nees","Restionaceae",1,0,"Perennial",0,1,1,0,0,0,0,0,0,"Feb","Apr",NA,NA,150,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,0,0,0,0,NA,1,1,"culm_stem",2,"h","w","i"
"Ceratocaryum decipiens","Ceratocaryum decipiens","Restionaceae","Ceratocaryum decipiens","(N.E.Br.) H.P.Linder","Restionaceae",1,0,"Perennial",0,1,1,0,0,0,0,1,0,"Feb","Mar",NA,NA,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,0,0,0,0,NA,1,1,"culm_stem",2,"h","w","i"
"Chaenostoma denudatum","Sutera denudata","Scrophulariaceae","Chaenostoma denudatum","Benth.","Scrophulariaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Jan","Dec",NA,NA,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,1.471111111,0,0,"leaf",1,"m","i","p"
"Chaenostoma hispidum","Sutera hispida","Scrophulariaceae","Chaenostoma hispidum","(Thunb.) Benth.","Scrophulariaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Jan","Dec",NA,NA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,0.78,0,0,"leaf",1,"m","i","p"
"Chaenostoma longipedicellatum","Sutera longipedicellata","Scrophulariaceae","Chaenostoma longipedicellatum","(Hilliard) Kornhall","Scrophulariaceae",1,0,"Perennial",1,0,1,0,0,1,0,0,0,"Jun","Sep",NA,NA,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",1,"m","i","p"
"Chamarea capensis","Chamarea capensis","Apiaceae","Chamarea capensis","Eckl. & Zeyh.","Apiaceae",1,0,"Perennial",1,0,0,1,1,1,0,1,0,"Nov","Apr",NA,NA,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,1,1,1,NA,0,0,"leaf",2,"l","i","p"
"Chamarea gracillima","Chamarea gracillima","Apiaceae","Chamarea gracillima","(H.Wolff) B.L.Burtt","Apiaceae",1,0,"Perennial",1,0,0,1,1,1,0,1,0,"Nov","Apr",NA,NA,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,1,1,1,NA,0,0,"leaf",2,"l","i","p"
"Chascanum cuneifolium","Chascanum cuneifolium","Verbenaceae","Chascanum cuneifolium","(L.f.) E.Mey.","Verbenaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Jul","Nov",NA,NA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,1.266666667,0,0,"leaf",2,"l","i","u"
"Cheilanthes contracta","Cheilanthes contracta","Pteridaceae","Cheilanthes contracta","Kunze","Pteridaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,NA,NA,NA,NA,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"frond",0,1,0,1,1,1,1.46,0,0,"leaf",2,"l","w","w"
"Cheilanthes induta","Cheilanthes induta","Pteridaceae","Hemionitis induta","(Kunze) Christenh.","Pteridaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,NA,NA,NA,NA,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"frond",0,1,0,1,0,1,NA,0,0,"leaf",2,"l","w","w"
"Cheilanthes involuta","Cheilanthes involuta","Pteridaceae","Cheilanthes involuta","(Sw.) Schelpe & N.C.Anthony","Pteridaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,NA,NA,NA,NA,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"frond",1,1,0,1,0,1,NA,0,0,"leaf",2,"l","w","w"
"Cheilanthes multifida","Cheilanthes multifida","Pteridaceae","Hemionitis multifida","(Sw.) Christenh.","Pteridaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,NA,NA,NA,NA,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"frond",0,0,1,0,1,1,NA,0,0,"leaf",2,"l","w","w"
"Cheilanthes parviloba","Cheilanthes parviloba","Pteridaceae","Cheilanthes parviloba","Sw.","Pteridaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,NA,NA,NA,NA,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"frond",0,0,1,1,0,1,7.976666667,0,0,"leaf",2,"l","w","w"
"Chenolea diffusa","Chenolea diffusa","Amaranthaceae","Chenolea diffusa","Thunb.","Amaranthaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Feb","Apr",NA,NA,30,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,"leaf",0,1,1,0,0,0,0.86,0,0,"leaf",2,"l","u","p"
"Chironia baccifera","Chironia baccifera","Gentianaceae","Chironia baccifera","L.","Gentianaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Nov","Feb",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,1.135833333,0,1,"leaf",2,"m","i","m"
"Chironia decumbens","Chironia decumbens","Gentianaceae","Chironia decumbens","Levyns","Gentianaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Oct","Jan",NA,NA,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"leaf",1,0,1,0,0,0,NA,0,1,"leaf",2,"l","i","m"
"Chironia jasminoides","Chironia jasminoides","Gentianaceae","Chironia jasminoides","L.","Gentianaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Aug","Jan",NA,NA,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,1,0,0,0,NA,0,1,"leaf",2,"l","i","m"
"Chironia linoides","Chironia linoides","Gentianaceae","Chironia linoides","L.","Gentianaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Oct","Jan",NA,NA,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,1.62,0,1,"leaf",2,"l","i","m"
"Chironia melampyrifolia","Chironia melampyrifolia","Gentianaceae","Chironia melampyrifolia","Lam.","Gentianaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Sep","Jan",NA,NA,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,7.26,0,1,"leaf",2,"l","i","m"
"Chlorophytum crispum","Chlorophytum crispum","Anthericaceae","Chlorophytum crispum","(Thunb.) Baker","Asparagaceae",1,0,"Perennial",1,0,1,0,0,1,0,1,0,"Sep","Apr",NA,NA,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"l","i","w"
"Chrysitrix capensis","Chrysitrix capensis","Cyperaceae","Chrysitrix capensis","L.","Cyperaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Apr","Nov",NA,NA,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,23.88,0,0,"leaf",2,"m","w","p"
"Chrysitrix junciformis","Chrysitrix junciformis","Cyperaceae","Chrysitrix junciformis","Nees","Cyperaceae",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Apr","Dec",NA,NA,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,49.14,0,0,"culm_stem",2,"m","w","p"
"Chrysocoma ciliata","Chrysocoma ciliata","Asteraceae","Chrysocoma ciliata","L.","Asteraceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Oct","Jan",NA,NA,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,0.648181818,0,0,"leaf",2,"h","i","w"
"Chrysocoma coma-aurea","Chrysocoma coma-aurea","Asteraceae","Chrysocoma coma-aurea","L.","Asteraceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Oct","Jan",NA,NA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,1.21,0,0,"leaf",2,"h","i","w"
"Cineraria geifolia","Cineraria geifolia","Asteraceae","Cineraria geifolia","L.","Asteraceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Aug","Nov",NA,NA,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,1,0,NA,0,0,"leaf",1,"l","i","w"
"Cineraria lobata","Cineraria lobata","Asteraceae","Cineraria lobata","L'Hér.","Asteraceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Nov","Jan",NA,NA,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,1,0,NA,0,0,"leaf",1,"l","i","w"
"Cineraria platycarpa","Cineraria platycarpa","Asteraceae","Cineraria platycarpa","DC.","Asteraceae",0,1,"Annual",1,0,1,0,0,0,0,0,0,"Aug","Sep",NA,NA,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,1,0,NA,0,0,"leaf",0,"l","i","w"
"Cineraria saxifraga","Cineraria saxifraga","Asteraceae","Cineraria saxifraga","DC.","Asteraceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Sep","Nov",NA,NA,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,1,0,1.948333333,0,0,"leaf",1,"l","i","w"
"Cissampelos capensis","Cissampelos capensis","Menispermaceae","Cissampelos capensis","L.f.","Menispermaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Feb","May",NA,NA,100,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,2.233333333,0,0,"leaf",2,"l","i","u"
"Cliffortia atrata","Cliffortia atrata","Rosaceae","Cliffortia atrata","Weim.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,0,0,"Jul","Dec",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,1,0,0,1.28375,0,0,"leaf",2,"h","w","i"
"Cliffortia baccans","Cliffortia baccans","Rosaceae","Cliffortia baccans","Harv.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,1,0,"Sep","Oct",NA,NA,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,1,0,0,NA,0,0,"leaf",2,"h","w","m"
"Cliffortia burchellii","Cliffortia burchellii","Rosaceae","Cliffortia burchellii","Stapf","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,0,0,"Apr","May",NA,NA,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,1,0,0,1.458,0,0,"leaf",2,"h","w","p"
"Cliffortia cervicornu","Cliffortia cervicornu","Rosaceae","Cliffortia cervicornu","Weim.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,0,0,"Oct","Oct",NA,NA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,1,1,0,NA,0,0,"leaf",2,"h","w","p"
"Cliffortia complanata","Cliffortia complanata","Rosaceae","Cliffortia complanata","E.Mey. ex Harv. & Sond.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,1,0,"Nov","Mar",NA,NA,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,1,0,0,NA,0,0,"leaf",2,"h","w","p"
"Cliffortia densa","Cliffortia densa","Rosaceae","Cliffortia densa","Weim.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,0,0,"May","May",NA,NA,300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,1,0,0,1.126,0,0,"leaf",2,"h","w","p"
"Cliffortia dentata","Cliffortia gracilis","Rosaceae","Cliffortia dentata","Willd.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,0,0,"Oct","Oct",NA,NA,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,1,0,0,0.59,0,0,"leaf",2,"h","w","p"
"Cliffortia drepanoides","Cliffortia drepanoides","Rosaceae","Cliffortia drepanoides","Eckl. & Zeyh.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,0,0,"Mar","Apr",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,1,0,0,1.383333333,0,0,"leaf",2,"h","w","p"
"Cliffortia falcata","Cliffortia falcata","Rosaceae","Cliffortia falcata","L.f.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,0,0,"Aug","Oct",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,1,0,0,0.78,0,0,"leaf",2,"h","w","p"
